"Fecha","Dolar"
2017-08-20,17.6826666666667
2017-08-21,17.646
2017-08-22,17.64
2017-08-23,17.707
2017-08-24,17.705
2017-08-25,17.614
2017-08-26,17.6843333333333
2017-08-27,17.7546666666667
2017-08-28,17.825
2017-08-29,17.871
2017-08-30,17.7441
2017-08-31,17.7875
2017-09-01,17.7835
2017-09-02,17.79575
2017-09-03,17.808
2017-09-04,17.82025
2017-09-05,17.8325
2017-09-06,17.798
2017-09-07,17.704
2017-09-08,17.7245
2017-09-09,17.6986666666667
2017-09-10,17.6728333333333
2017-09-11,17.647
2017-09-12,17.751
2017-09-13,17.7865
2017-09-14,17.722
2017-09-15,17.6865
2017-09-16,17.7103333333333
2017-09-17,17.7341666666667
2017-09-18,17.758
2017-09-19,17.7675
2017-09-20,17.6895
2017-09-21,17.825
2017-09-22,17.7355
2017-09-23,17.792
2017-09-24,17.8485
2017-09-25,17.905
2017-09-26,18.007
2017-09-27,18.101
2017-09-28,18.237
2017-09-29,18.148
2017-09-30,18.169
2017-10-01,18.19
2017-10-02,18.211
2017-10-03,18.211
2017-10-04,18.2175
2017-10-05,18.3145
2017-10-06,18.5165
2017-10-07,18.5525
2017-10-08,18.5885
2017-10-09,18.6245
2017-10-10,18.6605
2017-10-11,18.695
2017-10-12,18.7625
2017-10-13,18.889
2017-10-14,18.9565
2017-10-15,19.024
2017-10-16,19.0915
2017-10-17,19.0405
2017-10-18,18.9125
2017-10-19,18.839
2017-10-20,19.017
2017-10-21,19.0345
2017-10-22,19.052
2017-10-23,19.0695
2017-10-24,19.176
2017-10-25,19.1
2017-10-26,19.0545
2017-10-27,19.1785
2017-10-28,19.1741666666667
2017-10-29,19.1698333333333
2017-10-30,19.1655
2017-10-31,19.129
2017-11-01,19.135
2017-11-02,19.0065
2017-11-03,19.189
2017-11-04,19.1526666666667
2017-11-05,19.1163333333333
2017-11-06,19.08
2017-11-07,19.142
2017-11-08,19.0705
2017-11-09,19.067
2017-11-10,19.092125
2017-11-11,19.11725
2017-11-12,19.142375
2017-11-13,19.1675
2017-11-14,19.1455
2017-11-15,19.2565
2017-11-16,19.1005
2017-11-17,18.9275
2017-11-18,18.9623333333333
2017-11-19,18.9971666666667
2017-11-20,19.032
2017-11-21,18.8045
2017-11-22,18.7045
2017-11-23,18.61225
2017-11-24,18.52
2017-11-25,18.5268333333333
2017-11-26,18.5336666666667
2017-11-27,18.5405
2017-11-28,18.5775
2017-11-29,18.5125
2017-11-30,18.6335
2017-12-01,18.62
2017-12-02,18.6325
2017-12-03,18.645
2017-12-04,18.6575
2017-12-05,18.715
2017-12-06,18.8895
2017-12-07,18.9365
2017-12-08,18.956
2017-12-09,18.959
2017-12-10,18.962
2017-12-11,18.965
2017-12-12,19.184
2017-12-13,19.14
2017-12-14,19.103
2017-12-15,19.116
2017-12-16,19.0885
2017-12-17,19.061
2017-12-18,19.0335
2017-12-19,19.215
2017-12-20,19.213
2017-12-21,19.3825
2017-12-22,19.5905
2017-12-23,19.626
2017-12-24,19.6615
2017-12-25,19.697
2017-12-26,19.7325
2017-12-27,19.7245
2017-12-28,19.716
2017-12-29,19.6395
2017-12-30,19.600625
2017-12-31,19.56175
2018-01-01,19.522875
2018-01-02,19.484
2018-01-03,19.368
2018-01-04,19.254
2018-01-05,19.2392
2018-01-06,19.2328
2018-01-07,19.2264
2018-01-08,19.22
2018-01-09,19.306
2018-01-10,19.229
2018-01-11,19.3245
2018-01-12,19.0535
2018-01-13,19.005125
