"Fecha","Clave_producto","Precio_promedio","Desviacion"
2013-12-16,30201,25.5990663900415,0.404609843931126
2013-12-17,10201,25.94367,0.881282715264598
2013-12-17,30201,25.2800215401185,0.27866375547822
2013-12-18,10201,25,0
2013-12-18,30201,25.4702702702703,0.450785096401634
2013-12-19,10201,25.0865584227129,0.0898853799962379
2013-12-19,30201,25,0
2013-12-20,10201,26.8056371109806,0.748683291275037
2013-12-20,30201,25,0
2013-12-21,10201,27.341197887931,1.03326623950164
2013-12-21,30201,27.5,1.56239186477028
2013-12-22,30201,25,0
2013-12-23,10201,27.510460251046,1.4897385948301
2013-12-23,30201,26.9381443298969,1.02942733219399
2013-12-24,10201,30,0
2013-12-24,30201,27.7144813583815,1.10711480801297
2013-12-26,10201,25.8208955223881,0.89324225234522
2013-12-26,30201,27.734693877551,0.993074341596194
